,gcrq,sjxh,cdh,vehicles,velocity
539,2016/5/22,135,32,0.003047083,0.094188804
540,2016/5/22,136,11,0.003047083,0.094188804
541,2016/5/22,136,12,0.003047083,0.094188804
542,2016/5/22,136,31,0.003047083,0.094188804
543,2016/5/22,136,32,0.003047083,0.094188804
544,2016/5/22,137,11,0,0
545,2016/5/22,137,12,0.006130697,0.097896616
546,2016/5/22,137,31,0.00817757,0.058549568
547,2016/5/22,137,32,0.00621494,0.150349091
548,2016/5/22,138,11,0.003047083,0.094188804
549,2016/5/22,138,12,0.003047083,0.094188804
550,2016/5/22,138,31,0.003047083,0.094188804
551,2016/5/22,138,32,0.003047083,0.094188804
552,2016/5/22,139,11,0.003047083,0.094188804
553,2016/5/22,139,12,0.003047083,0.094188804
554,2016/5/22,139,31,0.003047083,0.094188804
555,2016/5/22,139,32,0.003047083,0.094188804
556,2016/5/22,140,11,0.003047083,0.094188804
557,2016/5/22,140,12,0.003047083,0.094188804
558,2016/5/22,140,31,0.003047083,0.094188804
559,2016/5/22,140,32,0.003047083,0.094188804
560,2016/5/22,141,11,0.003047083,0.094188804
561,2016/5/22,141,12,0.003047083,0.094188804
562,2016/5/22,141,31,0.003047083,0.094188804
563,2016/5/22,141,32,0.003047083,0.094188804
564,2016/5/22,142,11,0.003047083,0.094188804
565,2016/5/22,142,12,0.003047083,0.094188804
566,2016/5/22,142,31,0.003047083,0.094188804
